p3_,p2_,p1_,p0_,g3_,g2_,g1_,g0_,cin,p_,g_,cnz,cny,cnx,simulated_leakage,estimated_leakage,% Err
0.0,0.0,1.1,1.1,1.1,0.0,1.1,0.0,1.1,1.099996,7.078162e-06,1.099995,3.635416e-06,1.099995,8.235061e-08,8.23647494782e-08,0.01716985241517725
0.0,0.0,1.1,1.1,1.1,0.0,1.1,1.1,0.0,1.099996,7.078162e-06,1.099995,3.635067e-06,3.635067e-06,8.306548e-08,8.30766993398e-08,0.01350662128238869
0.0,0.0,1.1,1.1,1.1,0.0,1.1,1.1,1.1,1.099996,7.078162e-06,1.099995,3.635067e-06,3.635416e-06,8.052177e-08,8.054454356e-08,0.028282488077448972
0.0,0.0,1.1,1.1,1.1,1.1,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,8.681733e-08,8.683571042780002e-08,0.02117138110561691
0.0,0.0,1.1,1.1,1.1,1.1,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,7.981036e-08,7.982782959220001e-08,0.021888877834925963
0.0,0.0,1.1,1.1,1.1,1.1,0.0,1.1,0.0,1.099996,7.078162e-06,1.099995,1.099995,3.635067e-06,8.683664e-08,8.685829337160002e-08,0.024935754768979308
0.0,0.0,1.1,1.1,1.1,1.1,0.0,1.1,1.1,1.099996,7.078162e-06,1.099995,1.099995,3.635416e-06,8.190131e-08,8.192999301740001e-08,0.035021439095431074
0.0,0.0,1.1,1.1,1.1,1.1,1.1,0.0,0.0,1.099996,1.099996,3.635416e-06,3.635416e-06,1.099995,9.081296e-08,9.083690144680003e-08,0.026363469266976212
0.0,0.0,1.1,1.1,1.1,1.1,1.1,0.0,1.1,1.099996,1.099996,3.635416e-06,3.635416e-06,1.099995,8.380598e-08,8.38290206112e-08,0.027492800871737635
0.0,0.0,1.1,1.1,1.1,1.1,1.1,1.1,0.0,1.099996,1.099996,3.635067e-06,3.635067e-06,3.635067e-06,7.489354e-08,7.490491754960001e-08,0.015191630145962014
0.0,0.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.099996,1.099996,3.635067e-06,3.635067e-06,3.635416e-06,7.474156e-08,7.476890634420002e-08,0.03658786918552305
0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099989,7.078162e-06,1.099995,1.099995,1.099995,6.74154e-08,6.742061051299994e-08,0.0077289654885169725
0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.099989,7.078162e-06,1.099995,1.099995,1.099995,6.040844e-08,6.041272967739996e-08,0.0071011226245138405
0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.099989,7.078162e-06,1.099995,1.099995,3.635961e-06,7.103473e-08,7.104899870719995e-08,0.020086945075954703
0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.099989,7.078162e-06,1.099995,1.099995,1.099995,6.485895e-08,6.487797572279994e-08,0.029333997543810816
0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.099989,7.078162e-06,1.099995,1.099995,1.099995,8.167041e-08,8.168109746459999e-08,0.013086091523228044
0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.099989,7.078162e-06,1.099995,1.099995,1.099995,7.466344e-08,7.467321662899998e-08,0.013094265412865902
0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.099989,7.078162e-06,1.099995,3.635961e-06,3.635961e-06,8.413859e-08,8.415606371460001e-08,0.02076777683107003
0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.1,1.1,1.099989,7.078162e-06,1.099995,1.099995,1.099995,7.85098e-08,7.853363233639998e-08,0.03035587455321777
0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.099989,7.078162e-06,3.635961e-06,1.099995,1.099995,7.437565e-08,7.43897144902e-08,0.018910073659859427
0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,1.1,1.099989,7.078162e-06,3.635961e-06,1.099995,1.099995,6.736869e-08,6.738183365459997e-08,0.019510034409114578
0.0,1.1,0.0,0.0,0.0,1.1,0.0,1.1,0.0,1.099989,7.078162e-06,3.635961e-06,1.099995,3.635961e-06,7.799497e-08,7.80181026844e-08,0.029659200330486513
0.0,1.1,0.0,0.0,0.0,1.1,0.0,1.1,1.1,1.099989,7.078162e-06,3.635961e-06,1.099995,1.099995,7.18192e-08,7.184707969999998e-08,0.03881928509365437
0.0,1.1,0.0,0.0,0.0,1.1,1.1,0.0,0.0,1.099989,7.078162e-06,3.635961e-06,1.099995,1.099995,8.681819e-08,8.683571042780003e-08,0.020180595564160998
0.0,1.1,0.0,0.0,0.0,1.1,1.1,0.0,1.1,1.099989,7.078162e-06,3.635961e-06,1.099995,1.099995,7.981121e-08,7.98278295922e-08,0.020823631417176237
0.0,1.1,0.0,0.0,0.0,1.1,1.1,1.1,0.0,1.099989,7.078162e-06,3.635067e-06,3.635961e-06,3.635961e-06,8.597089e-08,8.599313767240001e-08,0.025878145963143376
0.0,1.1,0.0,0.0,0.0,1.1,1.1,1.1,1.1,1.099989,7.078162e-06,3.635961e-06,1.099995,1.099995,8.365758e-08,8.368824529960002e-08,0.036655733527089174
